,customer.c_acctbal,customer.c_address,customer.c_comment,customer.c_custkey,customer.c_mktsegment,customer.c_name,customer.c_nationkey,customer.c_phone,lineitem.l_comment,lineitem.l_commitdate,lineitem.l_discount,lineitem.l_extendedprice,lineitem.l_linenumber,lineitem.l_linestatus,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_quantity,lineitem.l_receiptdate,lineitem.l_returnflag,lineitem.l_shipdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_suppkey,lineitem.l_tax,nation.n_comment,nation.n_name,nation.n_nationkey,nation.n_regionkey,orders.o_clerk,orders.o_comment,orders.o_custkey,orders.o_orderdate,orders.o_orderkey,orders.o_orderpriority,orders.o_orderstatus,orders.o_shippriority,orders.o_totalprice,part.p_brand,part.p_comment,part.p_container,part.p_mfgr,part.p_name,part.p_partkey,part.p_retailprice,part.p_size,part.p_type,partsupp.ps_availqty,partsupp.ps_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_supplycost,region.r_comment,region.r_name,region.r_regionkey,supplier.s_acctbal,supplier.s_address,supplier.s_comment,supplier.s_name,supplier.s_nationkey,supplier.s_phone,supplier.s_suppkey
customer.c_acctbal,1.000000,0.592153,0.483767,0.599804,0.489864,0.527669,0.579534,0.526089,0.470355,0.536458,0.532002,0.409469,0.508137,0.375793,0.471471,0.555148,0.524472,0.568189,0.427332,0.508958,0.463504,0.449507,0.477083,0.606492,0.413285,0.457525,0.526199,0.476199,0.526089,0.442533,0.540062,0.498958,0.471471,0.436541,0.420281,0.214671,0.310331,0.458106,0.466597,0.497097,0.463996,0.463494,0.538693,0.481488,0.482750,0.530925,0.514544,0.341218,0.526471,0.489190,0.459374,0.413898,0.458269,0.476199,0.913373,0.534302,0.455459,0.466558,0.522352,0.464977,0.477582
customer.c_address,0.592153,1.000000,0.577815,0.543864,0.573011,0.620551,0.566744,0.620567,0.560536,0.482106,0.479248,0.534239,0.467475,0.444640,0.586642,0.538188,0.474643,0.478580,0.450346,0.491272,0.486517,0.486821,0.482254,0.484202,0.507333,0.555950,0.520058,0.470058,0.559456,0.536581,0.484668,0.586272,0.586642,0.547189,0.527910,0.276970,0.370934,0.556531,0.563049,0.484411,0.559461,0.553676,0.543864,0.530680,0.546872,0.562123,0.526978,0.429155,0.531642,0.467198,0.507326,0.507946,0.556694,0.470058,0.552820,0.932152,0.549507,0.559440,0.523931,0.559456,0.482753
customer.c_comment,0.483767,0.577815,1.000000,0.557700,0.654993,0.633051,0.519470,0.568996,0.889151,0.655754,0.541973,0.413630,0.466034,0.343288,0.484367,0.429802,0.482369,0.507677,0.394828,0.490754,0.470285,0.486303,0.434979,0.436927,0.929519,0.561543,0.472783,0.472783,0.568996,0.919012,0.498504,0.530754,0.484367,0.491670,0.430084,0.221452,0.277827,0.501013,0.876171,0.578893,0.506903,0.589660,0.435478,0.398790,0.499597,0.514085,0.479703,0.814673,0.429367,0.419923,0.460052,0.912369,0.562287,0.472783,0.444434,0.521687,0.906086,0.571940,0.476656,0.507885,0.435478
customer.c_custkey,0.599804,0.543864,0.557700,1.000000,0.594353,0.601603,0.686936,0.600022,0.544288,0.549281,0.554458,0.464805,0.541667,0.434448,0.670000,0.739101,0.667935,0.538704,0.440155,0.466781,0.515612,0.462329,0.754867,0.565524,0.487219,0.531458,0.640268,0.640268,0.600022,0.516466,0.936974,0.461781,0.670000,0.486030,0.475411,0.266779,0.278129,0.470928,0.540530,0.609919,0.476818,0.537428,0.755556,0.471402,0.628165,0.543747,0.536949,0.409040,0.725000,0.707281,0.533427,0.487831,0.532202,0.640268,0.562640,0.486013,0.529392,0.540492,0.644119,0.538911,0.755556
customer.c_mktsegment,0.489864,0.573011,0.654993,0.594353,1.000000,0.623695,0.589455,0.580807,0.658898,0.494048,0.596959,0.486949,0.502686,0.367461,0.548519,0.497010,0.454854,0.532830,0.464835,0.539882,0.489151,0.536577,0.502187,0.504136,0.599789,0.584544,0.546936,0.501103,0.534973,0.629037,0.550435,0.539882,0.548519,0.518352,0.457783,0.291459,0.314479,0.540465,0.671878,0.539702,0.581788,0.561167,0.502686,0.477750,0.551527,0.575631,0.416356,0.487999,0.456853,0.447409,0.496704,0.600402,0.583332,0.501103,0.465809,0.522195,0.641963,0.577862,0.550808,0.534973,0.502686
customer.c_name,0.527669,0.620551,0.633051,0.601603,0.623695,1.000000,0.663372,0.682769,0.621679,0.579647,0.475876,0.494200,0.601603,0.450514,0.528270,0.595927,0.526271,0.569070,0.456221,0.607147,0.484057,0.600272,0.539992,0.603052,0.562570,0.895739,0.616686,0.516686,0.525626,0.591818,0.542407,0.592147,0.528270,0.510732,0.449169,0.243559,0.367562,0.597326,0.628464,0.638397,0.537740,0.890614,0.601603,0.527308,0.604611,0.630078,0.523606,0.478280,0.583270,0.518825,0.461646,0.563183,0.894931,0.516686,0.488337,0.560378,0.604743,0.908333,0.620558,0.604198,0.540492
customer.c_nationkey,0.579534,0.566744,0.519470,0.686936,0.589455,0.663372,1.000000,0.661791,0.517169,0.498550,0.542468,0.490727,0.528604,0.337884,0.636936,0.696608,0.584890,0.491499,0.481091,0.506883,0.471429,0.502432,0.636266,0.543625,0.460099,0.604339,0.946665,0.796665,0.511791,0.489347,0.635823,0.456883,0.636936,0.554466,0.385898,0.340453,0.318256,0.504920,0.513411,0.555022,0.460810,0.610308,0.686936,0.542961,0.592095,0.566627,0.523904,0.344143,0.636936,0.595344,0.478074,0.460712,0.605082,0.796665,0.534948,0.520005,0.502273,0.613372,0.942814,0.611791,0.636936
customer.c_phone,0.526089,0.620567,0.568996,0.600022,0.580807,0.682769,0.661791,1.000000,0.557623,0.536759,0.584295,0.492619,0.554189,0.407626,0.526689,0.594346,0.524690,0.572015,0.459166,0.610092,0.525480,0.658217,0.538412,0.496709,0.498514,0.597494,0.615105,0.615105,0.528571,0.527762,0.540826,0.545092,0.526689,0.550343,0.409806,0.325076,0.365981,0.600271,0.568629,0.591342,0.527590,0.586478,0.600022,0.525727,0.576839,0.600943,0.472025,0.420335,0.581689,0.517245,0.544681,0.499127,0.596685,0.615105,0.486756,0.558420,0.540687,0.604198,0.618978,0.921429,0.538911
lineitem.l_comment,0.470355,0.560536,0.889151,0.544288,0.658898,0.621679,0.517169,0.557623,1.000000,0.751326,0.644672,0.497996,0.559566,0.438860,0.587066,0.538612,0.585067,0.599723,0.490399,0.595493,0.557964,0.591041,0.543789,0.545737,0.879780,0.611281,0.520482,0.520482,0.618734,0.909028,0.546203,0.580492,0.532066,0.541409,0.479822,0.271190,0.325526,0.550751,0.925909,0.628631,0.556641,0.626473,0.483177,0.446489,0.547296,0.563823,0.527402,0.764935,0.477066,0.467622,0.507750,0.880393,0.612025,0.520482,0.492133,0.566869,0.921953,0.621679,0.524355,0.557623,0.483177
lineitem.l_commitdate,0.536458,0.482106,0.655754,0.549281,0.494048,0.579647,0.498550,0.536759,0.751326,1.000000,0.551887,0.524378,0.503447,0.504200,0.549281,0.543605,0.593115,0.788462,0.464074,0.770833,0.566510,0.626458,0.502948,0.596563,0.646384,0.582759,0.501864,0.501864,0.536759,0.675632,0.551196,0.725000,0.503447,0.553233,0.499330,0.329984,0.361073,0.539704,0.718472,0.629584,0.537740,0.561928,0.503447,0.520819,0.552289,0.576392,0.508784,0.534594,0.457614,0.402337,0.455157,0.646996,0.581547,0.501864,0.558237,0.477123,0.688557,0.579647,0.505736,0.536759,0.457614
lineitem.l_discount,0.532002,0.479248,0.541973,0.554458,0.596959,0.475876,0.542468,0.584295,0.644672,0.551887,1.000000,0.498230,0.627791,0.482887,0.554458,0.549076,0.552393,0.541310,0.442761,0.524387,0.636074,0.574935,0.553769,0.558843,0.532603,0.466842,0.545803,0.545803,0.529295,0.561850,0.553326,0.514387,0.499458,0.561970,0.478017,0.347956,0.279926,0.522423,0.585914,0.512525,0.473313,0.472812,0.499458,0.508168,0.559598,0.479131,0.481408,0.411646,0.444458,0.437813,0.570192,0.533215,0.467586,0.545803,0.552454,0.482508,0.574776,0.475876,0.549650,0.584295,0.499458
lineitem.l_extendedprice,0.409469,0.534239,0.413630,0.464805,0.486949,0.494200,0.490727,0.492619,0.497996,0.524378,0.498230,1.000000,0.574805,0.409545,0.574805,0.489948,0.536140,0.561044,0.424418,0.524378,0.510351,0.519926,0.500973,0.497073,0.404260,0.485166,0.494040,0.494040,0.492619,0.433508,0.466720,0.524378,0.538139,0.525294,0.387751,0.264137,0.547490,0.485747,0.457571,0.485849,0.454970,0.491136,0.464805,0.630254,0.498632,0.534122,0.399593,0.301637,0.428139,0.412847,0.392541,0.404873,0.485910,0.494040,0.431819,0.537499,0.446433,0.494200,0.497913,0.492619,0.464805
lineitem.l_linenumber,0.508137,0.467475,0.466034,0.541667,0.502686,0.601603,0.528604,0.554189,0.559566,0.503447,0.627791,0.574805,1.000000,0.571948,0.633333,0.571045,0.585435,0.538704,0.440155,0.549281,0.554897,0.544829,0.586811,0.534968,0.456663,0.592569,0.531935,0.531935,0.508356,0.485911,0.539752,0.549281,0.587500,0.522697,0.433103,0.266779,0.278129,0.501484,0.509975,0.593252,0.553207,0.598539,0.541667,0.471402,0.582332,0.513192,0.436949,0.344873,0.495833,0.478114,0.491119,0.457276,0.593313,0.531935,0.532085,0.470736,0.498837,0.601603,0.535786,0.554189,0.541667
lineitem.l_linestatus,0.375793,0.444640,0.343288,0.434448,0.367461,0.450514,0.337884,0.407626,0.438860,0.504200,0.482887,0.409545,0.571948,1.000000,0.434448,0.428772,0.478283,0.532405,0.490127,0.504200,0.545622,0.416985,0.388116,0.481731,0.333918,0.460912,0.341198,0.341198,0.407626,0.363166,0.436363,0.504200,0.388615,0.393284,0.736922,0.419831,0.154574,0.414497,0.406006,0.460228,0.362774,0.432795,0.388615,0.321371,0.437456,0.401426,0.348117,0.222128,0.342781,0.287504,0.340325,0.334530,0.460168,0.341198,0.397571,0.439657,0.376091,0.450514,0.345070,0.407626,0.342781
lineitem.l_orderkey,0.471471,0.586642,0.484367,0.670000,0.548519,0.528270,0.636936,0.526689,0.587066,0.549281,0.554458,0.574805,0.633333,0.434448,1.000000,0.708545,0.612935,0.538704,0.485988,0.521781,0.515612,0.517329,0.724311,0.553301,0.474997,0.519236,0.640268,0.640268,0.636689,0.504244,0.668085,0.711781,0.945000,0.669364,0.602334,0.345350,0.369795,0.519817,0.528308,0.559919,0.525707,0.525206,0.670000,0.513710,0.554832,0.531525,0.536949,0.354040,0.615000,0.597281,0.491119,0.475609,0.519980,0.640268,0.495418,0.589902,0.517170,0.528270,0.644119,0.526689,0.670000
lineitem.l_partkey,0.555148,0.538188,0.429802,0.739101,0.497010,0.595927,0.696608,0.594346,0.538612,0.543605,0.549076,0.489948,0.571045,0.428772,0.708545,1.000000,0.706546,0.533028,0.480312,0.571105,0.549221,0.511653,0.738599,0.623566,0.420432,0.586893,0.693273,0.643273,0.533235,0.449680,0.740091,0.506105,0.653545,0.517021,0.469735,0.339674,0.363311,0.526363,0.473743,0.554243,0.471142,0.592863,0.922434,0.540445,0.560935,0.538071,0.573125,0.348364,0.873545,0.666232,0.518537,0.421044,0.587637,0.643273,0.556346,0.541449,0.462605,0.595927,0.689426,0.594346,0.677989
lineitem.l_quantity,0.524472,0.474643,0.482369,0.667935,0.454854,0.526271,0.584890,0.524690,0.585067,0.593115,0.552393,0.536140,0.585435,0.478283,0.612935,0.706546,1.000000,0.579013,0.529822,0.574782,0.552899,0.515331,0.668501,0.606237,0.472998,0.517238,0.588204,0.538204,0.469690,0.502246,0.666086,0.509782,0.557935,0.557365,0.473412,0.343351,0.367797,0.572819,0.526309,0.557920,0.468709,0.523207,0.667935,0.558059,0.552795,0.529526,0.639014,0.352042,0.612935,0.540269,0.531547,0.473611,0.517981,0.538204,0.548404,0.477904,0.515171,0.526271,0.592076,0.524690,0.612935
lineitem.l_receiptdate,0.568189,0.478580,0.507677,0.538704,0.532830,0.569070,0.491499,0.572015,0.599723,0.788462,0.541310,0.561044,0.538704,0.532405,0.538704,0.533028,0.579013,1.000000,0.583945,0.788462,0.566510,0.654663,0.538204,0.582461,0.498307,0.572182,0.494812,0.579428,0.529707,0.527555,0.540619,0.703846,0.496396,0.589900,0.541637,0.290698,0.350496,0.532652,0.570395,0.573173,0.488381,0.551351,0.496396,0.605434,0.541712,0.565815,0.501732,0.390042,0.454088,0.444644,0.455157,0.498919,0.570970,0.579428,0.589967,0.473597,0.540480,0.569070,0.498685,0.572015,0.496396
lineitem.l_returnflag,0.427332,0.450346,0.394828,0.440155,0.464835,0.456221,0.481091,0.459166,0.490399,0.464074,0.442761,0.424418,0.440155,0.490127,0.485988,0.480312,0.529822,0.583945,1.000000,0.464074,0.518591,0.468525,0.485489,0.533270,0.385457,0.466618,0.484404,0.530237,0.459166,0.414705,0.442070,0.464074,0.440155,0.518157,0.534615,0.368291,0.251947,0.466037,0.457546,0.465935,0.460147,0.438501,0.440155,0.499834,0.397329,0.452965,0.353824,0.273667,0.394321,0.384877,0.391865,0.386070,0.465874,0.530237,0.449111,0.445363,0.427631,0.456221,0.488277,0.459166,0.440155
lineitem.l_shipdate,0.508958,0.491272,0.490754,0.466781,0.539882,0.607147,0.506883,0.610092,0.595493,0.770833,0.524387,0.524378,0.549281,0.504200,0.521781,0.571105,0.574782,0.788462,0.464074,1.000000,0.684367,0.828125,0.631281,0.578230,0.481384,0.610259,0.510197,0.510197,0.500092,0.510632,0.468696,0.700000,0.466781,0.553233,0.499330,0.447840,0.361073,0.558037,0.553472,0.546250,0.501073,0.589428,0.521781,0.563127,0.634789,0.603892,0.517117,0.360427,0.521781,0.512337,0.539773,0.481996,0.609047,0.510197,0.530737,0.486289,0.523557,0.607147,0.514069,0.610092,0.576781
lineitem.l_shipinstruct,0.463504,0.486517,0.470285,0.515612,0.489151,0.484057,0.471429,0.525480,0.557964,0.566510,0.636074,0.510351,0.554897,0.545622,0.515612,0.549221,0.552899,0.566510,0.518591,0.684367,1.000000,0.646551,0.554398,0.517061,0.460914,0.490328,0.474742,0.474742,0.486194,0.490162,0.517527,0.487939,0.476326,0.488551,0.518591,0.476167,0.327405,0.487949,0.527808,0.529310,0.486772,0.472533,0.515612,0.537012,0.518620,0.483805,0.481662,0.355672,0.515612,0.466882,0.516681,0.461527,0.492059,0.474742,0.485282,0.481534,0.503088,0.484057,0.478615,0.525480,0.515612
lineitem.l_shipmode,0.449507,0.486821,0.486303,0.462329,0.536577,0.600272,0.502432,0.658217,0.591041,0.626458,0.574935,0.519926,0.544829,0.416985,0.517329,0.511653,0.515331,0.654663,0.468525,0.828125,0.646551,1.000000,0.626830,0.518779,0.476932,0.612866,0.505745,0.505745,0.493217,0.506180,0.464244,0.543125,0.462329,0.554632,0.419166,0.452292,0.356622,0.555088,0.549021,0.546875,0.549199,0.584976,0.462329,0.558675,0.630337,0.599440,0.462665,0.355976,0.462329,0.507885,0.577629,0.477545,0.612349,0.505745,0.471285,0.481838,0.519106,0.600272,0.509618,0.658217,0.572329
lineitem.l_suppkey,0.477083,0.482254,0.434979,0.754867,0.502187,0.539992,0.636266,0.538412,0.543789,0.502948,0.553769,0.500973,0.586811,0.388116,0.724311,0.738599,0.668501,0.538204,0.485489,0.631281,0.554398,0.626830,1.000000,0.564835,0.425609,0.530959,0.639579,0.639579,0.538412,0.454856,0.753142,0.461281,0.669311,0.522198,0.390296,0.384137,0.323463,0.470429,0.478920,0.509420,0.476319,0.536929,0.693755,0.514333,0.627505,0.604359,0.537638,0.353541,0.669311,0.871712,0.659970,0.426221,0.531703,0.639579,0.500981,0.485514,0.467782,0.539992,0.643452,0.538412,0.938200
lineitem.l_tax,0.606492,0.484202,0.436927,0.565524,0.504136,0.603052,0.543625,0.496709,0.545737,0.596563,0.558843,0.497073,0.534968,0.481731,0.553301,0.623566,0.606237,0.582461,0.533270,0.578230,0.517061,0.518779,0.564835,1.000000,0.427557,0.594019,0.546960,0.496960,0.496709,0.456805,0.564392,0.513230,0.498301,0.450813,0.476860,0.228943,0.370436,0.568409,0.480869,0.561368,0.508823,0.599988,0.565524,0.549319,0.540108,0.606307,0.530251,0.355489,0.553301,0.493969,0.484420,0.428170,0.594762,0.496960,0.624631,0.487463,0.469730,0.603052,0.549160,0.496709,0.504412
nation.n_comment,0.413285,0.507333,0.929519,0.487219,0.599789,0.562570,0.460099,0.498514,0.879780,0.646384,0.532603,0.404260,0.456663,0.333918,0.474997,0.420432,0.472998,0.498307,0.385457,0.481384,0.460914,0.476932,0.425609,0.427557,1.000000,0.613284,0.513413,0.513413,0.559625,0.909641,0.489134,0.521384,0.474997,0.482300,0.420714,0.212081,0.268456,0.491643,0.866800,0.569522,0.497532,0.580289,0.426108,0.389420,0.490227,0.504714,0.470333,0.824043,0.419997,0.410552,0.450681,0.907851,0.552916,0.463413,0.435064,0.512316,0.896716,0.562570,0.467286,0.498514,0.426108
nation.n_name,0.457525,0.555950,0.561543,0.531458,0.584544,0.895739,0.604339,0.597494,0.611281,0.582759,0.466842,0.485166,0.592569,0.460912,0.519236,0.586893,0.517238,0.572182,0.466618,0.610259,0.490328,0.612866,0.530959,0.594019,0.613284,1.000000,0.657652,0.557652,0.518922,0.581420,0.533373,0.595259,0.519236,0.519873,0.459567,0.253957,0.358529,0.603962,0.624261,0.649009,0.533000,0.880216,0.592569,0.518274,0.595577,0.619680,0.514572,0.467883,0.574236,0.509792,0.452613,0.552785,0.906603,0.507652,0.479303,0.550967,0.594346,0.895739,0.611525,0.597494,0.531458
nation.n_nationkey,0.526199,0.520058,0.472783,0.640268,0.546936,0.616686,0.946665,0.615105,0.520482,0.501864,0.545803,0.494040,0.531935,0.341198,0.640268,0.693273,0.588204,0.494812,0.484404,0.510197,0.474742,0.505745,0.639579,0.546960,0.513413,0.657652,1.000000,0.850000,0.515105,0.492661,0.639136,0.460197,0.640268,0.557780,0.389212,0.343766,0.321570,0.508234,0.516724,0.558335,0.464123,0.613622,0.690268,0.546286,0.595408,0.569941,0.527218,0.347456,0.640268,0.592009,0.481387,0.464025,0.608396,0.800000,0.538264,0.523319,0.505586,0.616686,0.946127,0.615105,0.640268
nation.n_regionkey,0.476199,0.470058,0.472783,0.640268,0.501103,0.516686,0.796665,0.615105,0.520482,0.501864,0.545803,0.494040,0.531935,0.341198,0.640268,0.643273,0.538204,0.579428,0.530237,0.510197,0.474742,0.505745,0.639579,0.496960,0.513413,0.557652,0.850000,1.000000,0.515105,0.492661,0.639136,0.510197,0.640268,0.631113,0.473827,0.343766,0.275736,0.508234,0.516724,0.508335,0.514123,0.513622,0.640268,0.588593,0.595408,0.519941,0.527218,0.347456,0.590268,0.592009,0.481387,0.464025,0.508396,0.950000,0.488264,0.473319,0.505586,0.516686,0.796127,0.615105,0.640268
orders.o_clerk,0.526089,0.559456,0.568996,0.600022,0.534973,0.525626,0.511791,0.528571,0.618734,0.536759,0.529295,0.492619,0.508356,0.407626,0.636689,0.533235,0.469690,0.529707,0.459166,0.500092,0.486194,0.493217,0.538412,0.496709,0.559625,0.518922,0.515105,0.515105,1.000000,0.649984,0.663048,0.645092,0.691689,0.587010,0.536729,0.325076,0.411815,0.521700,0.629740,0.591342,0.606161,0.507907,0.538911,0.525727,0.498268,0.522371,0.522025,0.475335,0.526689,0.517245,0.502373,0.560238,0.518114,0.515105,0.547867,0.558420,0.601798,0.525626,0.518978,0.528571,0.538911
