,customer.c_acctbal,customer.c_address,customer.c_comment,customer.c_custkey,customer.c_mktsegment,customer.c_name,customer.c_nationkey,customer.c_phone,lineitem.l_comment,lineitem.l_commitdate,lineitem.l_discount,lineitem.l_extendedprice,lineitem.l_linenumber,lineitem.l_linestatus,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_quantity,lineitem.l_receiptdate,lineitem.l_returnflag,lineitem.l_shipdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_suppkey,lineitem.l_tax,nation.n_comment,nation.n_name,nation.n_nationkey,nation.n_regionkey,orders.o_clerk,orders.o_comment,orders.o_custkey,orders.o_orderdate,orders.o_orderkey,orders.o_orderpriority,orders.o_orderstatus,orders.o_shippriority,orders.o_totalprice,part.p_brand,part.p_comment,part.p_container,part.p_mfgr,part.p_name,part.p_partkey,part.p_retailprice,part.p_size,part.p_type,partsupp.ps_availqty,partsupp.ps_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_supplycost,region.r_comment,region.r_name,region.r_regionkey,supplier.s_acctbal,supplier.s_address,supplier.s_comment,supplier.s_name,supplier.s_nationkey,supplier.s_phone,supplier.s_suppkey
orders.o_comment,0.442533,0.536581,0.919012,0.516466,0.629037,0.591818,0.489347,0.527762,0.909028,0.675632,0.561850,0.433508,0.485911,0.363166,0.504244,0.449680,0.502246,0.527555,0.414705,0.510632,0.490162,0.506180,0.454856,0.456805,0.909641,0.581420,0.492661,0.492661,0.649984,1.000000,0.579493,0.600631,0.559244,0.548215,0.492269,0.280615,0.343537,0.520890,0.896048,0.598770,0.526780,0.609537,0.455355,0.418667,0.519475,0.533962,0.499580,0.794796,0.449244,0.439800,0.479929,0.907293,0.582164,0.492661,0.464312,0.541564,0.925964,0.591818,0.496533,0.527762,0.455355
orders.o_custkey,0.540062,0.484668,0.498504,0.936974,0.550435,0.542407,0.635823,0.540826,0.546203,0.551196,0.553326,0.466720,0.539752,0.436363,0.668085,0.740091,0.666086,0.540619,0.442070,0.468696,0.517527,0.464244,0.753142,0.564392,0.489134,0.533373,0.639136,0.639136,0.663048,0.579493,1.000000,0.513696,0.723085,0.524612,0.519634,0.307980,0.325877,0.472844,0.542445,0.611834,0.478733,0.539343,0.753641,0.471294,0.627061,0.545662,0.538081,0.410955,0.723085,0.706276,0.533769,0.489746,0.534117,0.639136,0.563744,0.487929,0.531307,0.542407,0.643009,0.540826,0.753641
orders.o_orderdate,0.498958,0.586272,0.530754,0.461781,0.539882,0.592147,0.456883,0.545092,0.580492,0.725000,0.514387,0.524378,0.549281,0.504200,0.711781,0.506105,0.509782,0.703846,0.464074,0.700000,0.487939,0.543125,0.461281,0.513230,0.521384,0.595259,0.460197,0.510197,0.645092,0.600631,0.513696,1.000000,0.761781,0.736566,0.753176,0.369269,0.406906,0.598037,0.593472,0.496250,0.546073,0.574427,0.511781,0.478511,0.514788,0.538892,0.467117,0.405427,0.461781,0.402337,0.455157,0.521996,0.594047,0.510197,0.520737,0.581289,0.563557,0.592147,0.464070,0.545092,0.461781
orders.o_orderkey,0.471471,0.586642,0.484367,0.670000,0.548519,0.528270,0.636936,0.526689,0.532066,0.503447,0.499458,0.538139,0.587500,0.388615,0.945000,0.653545,0.557935,0.496396,0.440155,0.466781,0.476326,0.462329,0.669311,0.498301,0.474997,0.519236,0.640268,0.640268,0.691689,0.559244,0.723085,0.761781,1.000000,0.706030,0.644642,0.384636,0.415629,0.519817,0.528308,0.559919,0.525707,0.525206,0.670000,0.513710,0.554832,0.531525,0.536949,0.354040,0.615000,0.597281,0.491119,0.475609,0.519980,0.640268,0.495418,0.589902,0.517170,0.528270,0.644119,0.526689,0.670000
orders.o_orderpriority,0.436541,0.547189,0.491670,0.486030,0.518352,0.510732,0.554466,0.550343,0.541409,0.553233,0.561970,0.525294,0.522697,0.393284,0.669364,0.517021,0.557365,0.589900,0.518157,0.553233,0.488551,0.554632,0.522198,0.450813,0.482300,0.519873,0.557780,0.631113,0.587010,0.548215,0.524612,0.736566,0.706030,1.000000,0.628157,0.577877,0.407823,0.517493,0.551864,0.519569,0.514255,0.498677,0.522697,0.578145,0.489038,0.510479,0.528033,0.379677,0.486030,0.476586,0.487099,0.482913,0.520616,0.631113,0.458320,0.542206,0.524473,0.510732,0.561653,0.550343,0.522697
orders.o_orderstatus,0.420281,0.527910,0.430084,0.475411,0.457783,0.449169,0.385898,0.409806,0.479822,0.499330,0.478017,0.387751,0.433103,0.736922,0.602334,0.469735,0.473412,0.541637,0.534615,0.499330,0.518591,0.419166,0.390296,0.476860,0.420714,0.459567,0.389212,0.473827,0.536729,0.492269,0.519634,0.753176,0.644642,0.628157,1.000000,0.407577,0.244896,0.501293,0.492802,0.458883,0.453096,0.431450,0.475411,0.372911,0.436111,0.445914,0.396132,0.312449,0.433103,0.339044,0.349557,0.421326,0.458823,0.473827,0.442059,0.522927,0.462887,0.449169,0.393085,0.409806,0.390795
orders.o_shippriority,0.214671,0.276970,0.221452,0.266779,0.291459,0.243559,0.340453,0.325076,0.271190,0.329984,0.347956,0.264137,0.266779,0.419831,0.345350,0.339674,0.343351,0.290698,0.368291,0.447840,0.476167,0.452292,0.384137,0.228943,0.212081,0.253957,0.343766,0.343766,0.325076,0.280615,0.307980,0.369269,0.384636,0.577877,0.407577,1.000000,0.157143,0.292661,0.284170,0.292559,0.286771,0.225840,0.345350,0.288180,0.309073,0.279589,0.350686,0.146125,0.345350,0.335906,0.346419,0.212694,0.253213,0.343766,0.236449,0.271987,0.254255,0.243559,0.347639,0.325076,0.384636
orders.o_totalprice,0.310331,0.370934,0.277827,0.278129,0.314479,0.367562,0.318256,0.365981,0.325526,0.361073,0.279926,0.547490,0.278129,0.154574,0.369795,0.363311,0.367797,0.350496,0.251947,0.361073,0.327405,0.356622,0.323463,0.370436,0.268456,0.358529,0.321570,0.275736,0.411815,0.343537,0.325877,0.406906,0.415629,0.407823,0.244896,0.157143,1.000000,0.313277,0.321768,0.405045,0.319167,0.364498,0.369795,0.595180,0.371995,0.416651,0.286249,0.156666,0.323962,0.267876,0.317980,0.269069,0.359273,0.275736,0.332682,0.374195,0.310629,0.367562,0.325442,0.365981,0.323962
part.p_brand,0.458106,0.556531,0.501013,0.470928,0.540465,0.597326,0.504920,0.600271,0.550751,0.539704,0.522423,0.485747,0.501484,0.414497,0.519817,0.526363,0.572819,0.532652,0.466037,0.558037,0.487949,0.555088,0.470429,0.568409,0.491643,0.603962,0.508234,0.508234,0.521700,0.520890,0.472844,0.598037,0.519817,0.517493,0.501293,0.292661,0.313277,1.000000,0.624842,0.647810,0.601253,0.658178,0.593151,0.518856,0.569968,0.594071,0.565153,0.468464,0.574817,0.510373,0.495502,0.492255,0.602346,0.508234,0.479885,0.551548,0.533816,0.597326,0.512106,0.600271,0.470928
part.p_comment,0.466597,0.563049,0.876171,0.540530,0.671878,0.628464,0.513411,0.568629,0.925909,0.718472,0.585914,0.457571,0.509975,0.406006,0.528308,0.473743,0.526309,0.570395,0.457546,0.553472,0.527808,0.549021,0.478920,0.480869,0.866800,0.624261,0.516724,0.516724,0.629740,0.896048,0.542445,0.593472,0.528308,0.551864,0.492802,0.284170,0.321768,0.624842,1.000000,0.691611,0.629745,0.675399,0.540530,0.485039,0.604649,0.628616,0.573644,0.806955,0.528308,0.518864,0.546300,0.867413,0.624396,0.516724,0.488375,0.560039,0.908973,0.628464,0.520597,0.568629,0.479419
part.p_container,0.497097,0.484411,0.578893,0.609919,0.539702,0.638397,0.555022,0.591342,0.628631,0.629584,0.512525,0.485849,0.593252,0.460228,0.559919,0.554243,0.557920,0.573173,0.465935,0.546250,0.529310,0.546875,0.509420,0.561368,0.569522,0.649009,0.558335,0.508335,0.591342,0.598770,0.611834,0.496250,0.559919,0.519569,0.458883,0.292559,0.405045,0.647810,0.691611,1.000000,0.592324,0.672566,0.609919,0.603573,0.612927,0.637030,0.515255,0.503566,0.559919,0.500475,0.495604,0.570135,0.647393,0.508335,0.518875,0.479428,0.611695,0.638397,0.562208,0.591342,0.509919
part.p_mfgr,0.463996,0.559461,0.506903,0.476818,0.581788,0.537740,0.460810,0.527590,0.556641,0.537740,0.473313,0.454970,0.553207,0.362774,0.525707,0.471142,0.468709,0.488381,0.460147,0.501073,0.486772,0.549199,0.476319,0.508823,0.497532,0.533000,0.464123,0.514123,0.606161,0.526780,0.478733,0.546073,0.525707,0.514255,0.453096,0.286771,0.319167,0.601253,0.629745,0.592324,1.000000,0.611687,0.537929,0.524745,0.602048,0.626151,0.521043,0.474354,0.525707,0.516263,0.501392,0.498145,0.532191,0.514123,0.485774,0.557438,0.539706,0.537740,0.467996,0.527590,0.476818
part.p_name,0.463494,0.553676,0.589660,0.537428,0.561167,0.890614,0.610308,0.586478,0.626473,0.561928,0.472812,0.491136,0.598539,0.432795,0.525206,0.592863,0.523207,0.551351,0.438501,0.589428,0.472533,0.584976,0.536929,0.599988,0.580289,0.880216,0.613622,0.513622,0.507907,0.609537,0.539343,0.574427,0.525206,0.498677,0.431450,0.225840,0.364498,0.658178,0.675399,0.672566,0.611687,1.000000,0.659650,0.566552,0.693214,0.710536,0.570542,0.551000,0.635206,0.570762,0.500890,0.580902,0.880960,0.513622,0.485273,0.560413,0.618515,0.890614,0.617494,0.586478,0.537428
part.p_partkey,0.538693,0.543864,0.435478,0.755556,0.502686,0.601603,0.686936,0.600022,0.483177,0.503447,0.499458,0.464805,0.541667,0.388615,0.670000,0.922434,0.667935,0.496396,0.440155,0.521781,0.515612,0.462329,0.693755,0.565524,0.426108,0.592569,0.690268,0.640268,0.538911,0.455355,0.753641,0.511781,0.670000,0.522697,0.475411,0.345350,0.369795,0.593151,0.540530,0.609919,0.537929,0.659650,1.000000,0.598325,0.628165,0.604858,0.636949,0.409040,0.945000,0.707281,0.575734,0.426720,0.593313,0.640268,0.562640,0.547124,0.468281,0.601603,0.694118,0.600022,0.694444
part.p_retailprice,0.481488,0.530680,0.398790,0.471402,0.477750,0.527308,0.542961,0.525727,0.446489,0.520819,0.508168,0.630254,0.471402,0.321371,0.513710,0.540445,0.558059,0.605434,0.499834,0.563127,0.537012,0.558675,0.514333,0.549319,0.389420,0.518274,0.546286,0.588593,0.525727,0.418667,0.471294,0.478511,0.513710,0.578145,0.372911,0.288180,0.595180,0.518856,0.485039,0.603573,0.524745,0.566552,0.598325,1.000000,0.593169,0.615178,0.593225,0.323463,0.556017,0.496044,0.514173,0.390032,0.519018,0.588593,0.505171,0.533941,0.431593,0.527308,0.550146,0.525727,0.513710
part.p_size,0.482750,0.546872,0.499597,0.628165,0.551527,0.604611,0.592095,0.576839,0.547296,0.552289,0.559598,0.498632,0.582332,0.437456,0.554832,0.560935,0.552795,0.541712,0.397329,0.634789,0.518620,0.630337,0.627505,0.540108,0.490227,0.595577,0.595408,0.595408,0.498268,0.519475,0.627061,0.514788,0.554832,0.489038,0.436111,0.309073,0.371995,0.569968,0.604649,0.612927,0.602048,0.693214,0.628165,0.593169,1.000000,0.699533,0.581809,0.467048,0.609832,0.657450,0.570594,0.490839,0.596321,0.595408,0.503965,0.550133,0.532400,0.604611,0.599281,0.576839,0.628165
part.p_type,0.530925,0.562123,0.514085,0.543747,0.575631,0.630078,0.566627,0.600943,0.563823,0.576392,0.479131,0.534122,0.513192,0.401426,0.531525,0.538071,0.529526,0.565815,0.452965,0.603892,0.483805,0.599440,0.604359,0.606307,0.504714,0.619680,0.569941,0.519941,0.522371,0.533962,0.545662,0.538892,0.531525,0.510479,0.445914,0.279589,0.416651,0.594071,0.628616,0.637030,0.626151,0.710536,0.604858,0.615178,0.699533,1.000000,0.526861,0.481536,0.586525,0.632081,0.549517,0.505327,0.619679,0.519941,0.552703,0.563633,0.546887,0.630078,0.573814,0.600943,0.604858
partsupp.ps_availqty,0.514544,0.526978,0.479703,0.536949,0.416356,0.523606,0.523904,0.472025,0.527402,0.508784,0.481408,0.399593,0.436949,0.348117,0.536949,0.573125,0.639014,0.501732,0.353824,0.517117,0.481662,0.462665,0.537638,0.530251,0.470333,0.514572,0.527218,0.527218,0.522025,0.499580,0.538081,0.467117,0.536949,0.528033,0.396132,0.350686,0.286249,0.565153,0.573644,0.515255,0.521043,0.570542,0.636949,0.593225,0.581809,0.526861,1.000000,0.504376,0.686949,0.619357,0.607369,0.470945,0.515316,0.527218,0.588089,0.580238,0.562506,0.573606,0.581090,0.522025,0.586949
partsupp.ps_comment,0.341218,0.429155,0.814673,0.409040,0.487999,0.478280,0.344143,0.420335,0.764935,0.534594,0.411646,0.301637,0.344873,0.222128,0.354040,0.348364,0.352042,0.390042,0.273667,0.360427,0.355672,0.355976,0.353541,0.355489,0.824043,0.467883,0.347456,0.347456,0.475335,0.794796,0.410955,0.405427,0.354040,0.379677,0.312449,0.146125,0.156666,0.468464,0.806955,0.503566,0.474354,0.551000,0.409040,0.323463,0.467048,0.481536,0.504376,1.000000,0.464040,0.454596,0.469340,0.823431,0.468627,0.347456,0.417996,0.489138,0.836870,0.533280,0.401329,0.475335,0.409040
partsupp.ps_partkey,0.526471,0.531642,0.429367,0.725000,0.456853,0.583270,0.636936,0.581689,0.477066,0.457614,0.444458,0.428139,0.495833,0.342781,0.615000,0.873545,0.612935,0.454088,0.394321,0.521781,0.515612,0.462329,0.669311,0.553301,0.419997,0.574236,0.640268,0.590268,0.526689,0.449244,0.723085,0.461781,0.615000,0.486030,0.433103,0.345350,0.323962,0.574817,0.528308,0.559919,0.525707,0.635206,0.945000,0.556017,0.609832,0.586525,0.686949,0.464040,1.000000,0.762281,0.618042,0.420609,0.574980,0.590268,0.605418,0.589902,0.517170,0.638270,0.694118,0.636689,0.725000
partsupp.ps_suppkey,0.489190,0.467198,0.419923,0.707281,0.447409,0.518825,0.595344,0.517245,0.467622,0.402337,0.437813,0.412847,0.478114,0.287504,0.597281,0.666232,0.540269,0.444644,0.384877,0.512337,0.466882,0.507885,0.871712,0.493969,0.410552,0.509792,0.592009,0.592009,0.517245,0.439800,0.706276,0.402337,0.597281,0.476586,0.339044,0.335906,0.267876,0.510373,0.518864,0.500475,0.516263,0.570762,0.707281,0.496044,0.657450,0.632081,0.619357,0.454596,0.762281,1.000000,0.727374,0.411165,0.510536,0.592009,0.540400,0.525458,0.507726,0.573825,0.638162,0.572245,0.927281
partsupp.ps_supplycost,0.459374,0.507326,0.460052,0.533427,0.496704,0.461646,0.478074,0.544681,0.507750,0.455157,0.570192,0.392541,0.491119,0.340325,0.491119,0.518537,0.531547,0.455157,0.391865,0.539773,0.516681,0.577629,0.659970,0.484420,0.450681,0.452613,0.481387,0.481387,0.502373,0.479929,0.533769,0.455157,0.491119,0.487099,0.349557,0.346419,0.317980,0.495502,0.546300,0.495604,0.501392,0.500890,0.575734,0.514173,0.570594,0.549517,0.607369,0.469340,0.618042,0.727374,1.000000,0.451294,0.453357,0.481387,0.525364,0.552895,0.535162,0.503954,0.527568,0.586989,0.702657
region.r_comment,0.413898,0.507946,0.912369,0.487831,0.600402,0.563183,0.460712,0.499127,0.880393,0.646996,0.533215,0.404873,0.457276,0.334530,0.475609,0.421044,0.473611,0.498919,0.386070,0.481996,0.461527,0.477545,0.426221,0.428170,0.907851,0.552785,0.464025,0.464025,0.560238,0.907293,0.489746,0.521996,0.475609,0.482913,0.421326,0.212694,0.269069,0.492255,0.867413,0.570135,0.498145,0.580902,0.426720,0.390032,0.490839,0.505327,0.470945,0.823431,0.420609,0.411165,0.451294,1.000000,0.614640,0.514025,0.435676,0.512929,0.897328,0.563183,0.467898,0.499127,0.426720
region.r_name,0.458269,0.556694,0.562287,0.532202,0.583332,0.894931,0.605082,0.596685,0.612025,0.581547,0.467586,0.485910,0.593313,0.460168,0.519980,0.587637,0.517981,0.570970,0.465874,0.609047,0.492059,0.612349,0.531703,0.594762,0.552916,0.906603,0.608396,0.508396,0.518114,0.582164,0.534117,0.594047,0.519980,0.520616,0.458823,0.253213,0.359273,0.602346,0.624396,0.647393,0.532191,0.880960,0.593313,0.519018,0.596321,0.619679,0.515316,0.468627,0.574980,0.510536,0.453357,0.614640,1.000000,0.558396,0.480047,0.551711,0.595089,0.894931,0.612269,0.596685,0.532202
region.r_regionkey,0.476199,0.470058,0.472783,0.640268,0.501103,0.516686,0.796665,0.615105,0.520482,0.501864,0.545803,0.494040,0.531935,0.341198,0.640268,0.643273,0.538204,0.579428,0.530237,0.510197,0.474742,0.505745,0.639579,0.496960,0.463413,0.507652,0.800000,0.950000,0.515105,0.492661,0.639136,0.510197,0.640268,0.631113,0.473827,0.343766,0.275736,0.508234,0.516724,0.508335,0.514123,0.513622,0.640268,0.588593,0.595408,0.519941,0.527218,0.347456,0.590268,0.592009,0.481387,0.514025,0.558396,1.000000,0.488264,0.473319,0.505586,0.516686,0.796127,0.615105,0.640268
supplier.s_acctbal,0.913373,0.552820,0.444434,0.562640,0.465809,0.488337,0.534948,0.486756,0.492133,0.558237,0.552454,0.431819,0.532085,0.397571,0.495418,0.556346,0.548404,0.589967,0.449111,0.530737,0.485282,0.471285,0.500981,0.624631,0.435064,0.479303,0.538264,0.488264,0.547867,0.464312,0.563744,0.520737,0.495418,0.458320,0.442059,0.236449,0.332682,0.479885,0.488375,0.518875,0.485774,0.485273,0.562640,0.505171,0.503965,0.552703,0.588089,0.417996,0.605418,0.540400,0.525364,0.435676,0.480047,0.488264,1.000000,0.617192,0.538348,0.549448,0.592135,0.547867,0.562640
supplier.s_address,0.534302,0.932152,0.521687,0.486013,0.522195,0.560378,0.520005,0.558420,0.566869,0.477123,0.482508,0.537499,0.470736,0.439657,0.589902,0.541449,0.477904,0.473597,0.445363,0.486289,0.481534,0.481838,0.485514,0.487463,0.512316,0.550967,0.523319,0.473319,0.558420,0.541564,0.487929,0.581289,0.589902,0.542206,0.522927,0.271987,0.374195,0.551548,0.560039,0.479428,0.557438,0.560413,0.547124,0.533941,0.550133,0.563633,0.580238,0.489138,0.589902,0.525458,0.552895,0.512929,0.551711,0.473319,0.617192,1.000000,0.615601,0.621489,0.577191,0.619531,0.547124
supplier.s_comment,0.455459,0.549507,0.906086,0.529392,0.641963,0.604743,0.502273,0.540687,0.921953,0.688557,0.574776,0.446433,0.498837,0.376091,0.517170,0.462605,0.515171,0.540480,0.427631,0.523557,0.503088,0.519106,0.467782,0.469730,0.896716,0.594346,0.505586,0.505586,0.601798,0.925964,0.531307,0.563557,0.517170,0.524473,0.462887,0.254255,0.310629,0.533816,0.908973,0.611695,0.539706,0.618515,0.468281,0.431593,0.532400,0.546887,0.562506,0.836870,0.517170,0.507726,0.535162,0.897328,0.595089,0.505586,0.538348,0.615601,1.000000,0.665854,0.559459,0.601798,0.529392
supplier.s_name,0.466558,0.559440,0.571940,0.540492,0.577862,0.908333,0.613372,0.604198,0.621679,0.579647,0.475876,0.494200,0.601603,0.450514,0.528270,0.595927,0.526271,0.569070,0.456221,0.607147,0.484057,0.600272,0.539992,0.603052,0.562570,0.895739,0.616686,0.516686,0.525626,0.591818,0.542407,0.592147,0.528270,0.510732,0.449169,0.243559,0.367562,0.597326,0.628464,0.638397,0.537740,0.890614,0.601603,0.527308,0.604611,0.630078,0.573606,0.533280,0.638270,0.573825,0.503954,0.563183,0.894931,0.516686,0.549448,0.621489,0.665854,1.000000,0.670558,0.682769,0.601603
supplier.s_nationkey,0.522352,0.523931,0.476656,0.644119,0.550808,0.620558,0.942814,0.618978,0.524355,0.505736,0.549650,0.497913,0.535786,0.345070,0.644119,0.689426,0.592076,0.498685,0.488277,0.514069,0.478615,0.509618,0.643452,0.549160,0.467286,0.611525,0.946127,0.796127,0.518978,0.496533,0.643009,0.464070,0.644119,0.561653,0.393085,0.347639,0.325442,0.512106,0.520597,0.562208,0.467996,0.617494,0.694118,0.550146,0.599281,0.573814,0.581090,0.401329,0.694118,0.638162,0.527568,0.467898,0.612269,0.796127,0.592135,0.577191,0.559459,0.670558,1.000000,0.668977,0.694118
supplier.s_phone,0.464977,0.559456,0.507885,0.538911,0.534973,0.604198,0.611791,0.921429,0.557623,0.536759,0.584295,0.492619,0.554189,0.407626,0.526689,0.594346,0.524690,0.572015,0.459166,0.610092,0.525480,0.658217,0.538412,0.496709,0.498514,0.597494,0.615105,0.615105,0.528571,0.527762,0.540826,0.545092,0.526689,0.550343,0.409806,0.325076,0.365981,0.600271,0.568629,0.591342,0.527590,0.586478,0.600022,0.525727,0.576839,0.600943,0.522025,0.475335,0.636689,0.572245,0.586989,0.499127,0.596685,0.615105,0.547867,0.619531,0.601798,0.682769,0.668977,1.000000,0.600022
supplier.s_suppkey,0.477582,0.482753,0.435478,0.755556,0.502686,0.540492,0.636936,0.538911,0.483177,0.457614,0.499458,0.464805,0.541667,0.342781,0.670000,0.677989,0.612935,0.496396,0.440155,0.576781,0.515612,0.572329,0.938200,0.504412,0.426108,0.531458,0.640268,0.640268,0.538911,0.455355,0.753641,0.461781,0.670000,0.522697,0.390795,0.384636,0.323962,0.470928,0.479419,0.509919,0.476818,0.537428,0.694444,0.513710,0.628165,0.604858,0.586949,0.409040,0.725000,0.927281,0.702657,0.426720,0.532202,0.640268,0.562640,0.547124,0.529392,0.601603,0.694118,0.600022,1.000000
